,DISTRICT_NAME,Value,Crop,Metric,Year
464,Dang,150,BARLEY,AREA,1919-8586
465,Darchula,1000,BARLEY,AREA,1919-8586
466,Dhading,400,BARLEY,AREA,1919-8586
467,Dhankuta,60,BARLEY,AREA,1919-8586
468,Dhanusa,510,BARLEY,AREA,1919-8586
469,Dolakha,300,BARLEY,AREA,1919-8586
470,Dolpa,450,BARLEY,AREA,1919-8586
471,Doti,500,BARLEY,AREA,1919-8586
472,Gorkha,250,BARLEY,AREA,1919-8586
473,Gulmi,150,BARLEY,AREA,1919-8586
474,Humla,320,BARLEY,AREA,1919-8586
475,Ilam,100,BARLEY,AREA,1919-8586
476,Jajarkot,1000,BARLEY,AREA,1919-8586
477,Jhapa,20,BARLEY,AREA,1919-8586
478,Jumla,2000,BARLEY,AREA,1919-8586
479,Kailali,300,BARLEY,AREA,1919-8586
480,Kalikot,700,BARLEY,AREA,1919-8586
481,Kanchanpur,250,BARLEY,AREA,1919-8586
482,Kapilbastu,40,BARLEY,AREA,1919-8586
483,Kaski,70,BARLEY,AREA,1919-8586
484,Kathmandu,10,BARLEY,AREA,1919-8586
485,Kavre,300,BARLEY,AREA,1919-8586
486,Khotang,250,BARLEY,AREA,1919-8586
487,Lalitpur,40,BARLEY,AREA,1919-8586
488,Lamjung,210,BARLEY,AREA,1919-8586
489,Mahottari,130,BARLEY,AREA,1919-8586
490,Makwanpur,500,BARLEY,AREA,1919-8586
491,Manang,650,BARLEY,AREA,1919-8586
492,Morang,80,BARLEY,AREA,1919-8586
493,Mugu,980,BARLEY,AREA,1919-8586
494,Mustang,900,BARLEY,AREA,1919-8586
495,Myagdi,260,BARLEY,AREA,1919-8586
496,Nawalparasi,40,BARLEY,AREA,1919-8586
497,Nuwakot,70,BARLEY,AREA,1919-8586
498,Okhaldhunga,110,BARLEY,AREA,1919-8586
499,Palpa,250,BARLEY,AREA,1919-8586
500,Panchthar,500,BARLEY,AREA,1919-8586
501,Parbat,240,BARLEY,AREA,1919-8586
502,Parsa,90,BARLEY,AREA,1919-8586
503,Pyuthan,400,BARLEY,AREA,1919-8586
504,Ramechhap,320,BARLEY,AREA,1919-8586
505,Rasuwa,250,BARLEY,AREA,1919-8586
506,Rautahat,740,BARLEY,AREA,1919-8586
507,Rolpa,1400,BARLEY,AREA,1919-8586
508,Rukum,1100,BARLEY,AREA,1919-8586
509,Rupandehi,50,BARLEY,AREA,1919-8586
510,Salyan,1180,BARLEY,AREA,1919-8586
511,Sankhuwasabha,250,BARLEY,AREA,1919-8586
512,Saptari,70,BARLEY,AREA,1919-8586
513,Sarlahi,260,BARLEY,AREA,1919-8586
514,Sindhuli,220,BARLEY,AREA,1919-8586
515,Sindhupalchok,350,BARLEY,AREA,1919-8586
516,Siraha,30,BARLEY,AREA,1919-8586
517,Solukhumbu,560,BARLEY,AREA,1919-8586
518,Sunsari,50,BARLEY,AREA,1919-8586
519,Surkhet,1000,BARLEY,AREA,1919-8586
520,Syangja,70,BARLEY,AREA,1919-8586
521,Tanahu,30,BARLEY,AREA,1919-8586
522,Taplejung,150,BARLEY,AREA,1919-8586
523,Tehrathum,150,BARLEY,AREA,1919-8586
524,Udayapur,30,BARLEY,AREA,1919-8586
525,Achham,680,BARLEY,AREA,1919-8687
526,Arghakhanchi,210,BARLEY,AREA,1919-8687
527,Baglung,220,BARLEY,AREA,1919-8687
528,Baitadi,720,BARLEY,AREA,1919-8687
529,Bajhang,1000,BARLEY,AREA,1919-8687
